"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88436","Positive 5: User can search, select cab, and fill passenger details","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","71324","Negative 1: Same pickup and destination city is handled","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","86305","End To End: Search cab, select cab, and enter passenger details","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","26910","Negative 2: Empty pickup location is handled","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","5496","Positive 1: Cabs page opens directly in Chrome","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","79224","Parameterized Filter: Bangalore to Mysore - SUV","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","79043","Parameterized Filter: Mumbai to Pune - Sedan","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","77225","Parameterized Filter: Delhi to Agra - Hatchback","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","76332","Positive 4: User can search cabs and view available results","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","23329","Positive 2: User can select pickup city","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
"","40612","Positive 3: User can select pickup and destination cities","tests","2026-05-21","passed","2026-05-21","","test_cab_booking","",""
